,Eh
109293,0.2691752314567566
83823,0.0008391439914703369
95599,0.06091882288455963
62333,0.04449057579040527
106872,0.00012749433517456055
105946,0.02668144553899765
18932,0.018168047070503235
27073,8.977949619293213e-05
87965,0.16346979141235352
72748,0.03610093891620636
107902,0.005541965365409851
33323,0.01627287268638611
73417,0.37728601694107056
6623,0.011018186807632446
65665,0.15850156545639038
10121,0.02696508914232254
20076,0.011817634105682373
13687,0.06318541616201401
3110,0.040421269834041595
75743,0.0764792263507843
102064,0.01832433044910431
14199,0.038237251341342926
47961,0.14722107350826263
63471,0.13445410132408142
78109,0.03878439962863922
53074,0.06298794597387314
98751,0.009334757924079895
94973,0.060774557292461395
28359,0.03695131838321686
110857,0.04472452402114868
4281,0.4060218632221222
71163,0.0042561739683151245
64585,0.07307849824428558
85539,0.2820291519165039
22655,0.015576094388961792
74782,0.020132705569267273
108817,0.10599417984485626
8603,0.00814734399318695
64507,0.04097248613834381
101179,0.1186121255159378
64170,0.02045711874961853
73693,0.15946152806282043
77022,0.06374843418598175
31970,-0.00015760958194732666
43692,0.011740699410438538
37715,0.013204202055931091
29960,5.3495168685913086e-05
100065,4.366040229797363e-05
27029,-7.021427154541016e-05
32881,0.03490098565816879
100145,0.014493942260742188
42705,-6.318092346191406e-06
45279,0.02026951313018799
93012,0.05748285353183746
96635,0.08548208326101303
93235,0.04000828415155411
95949,0.01826690137386322
1215,0.04577208310365677
99499,0.03508111834526062
25073,0.04324663430452347
12167,0.1436421275138855
31488,0.02060103416442871
43707,0.03697800636291504
48151,0.07629209011793137
67154,0.28798049688339233
276,0.0002863854169845581
103822,0.08908027410507202
41767,0.05207718908786774
95465,7.294118404388428e-05
49457,0.020166680216789246
40327,0.36877748370170593
60060,0.03925389051437378
69976,0.06404982507228851
38702,-8.942186832427979e-05
45773,0.1182592585682869
17487,0.020851805806159973
64617,0.2414989024400711
33188,0.02215806394815445
72764,0.017200186848640442
81589,8.001923561096191e-05
96777,0.00978696346282959
86715,0.02695576846599579
37817,0.2154984176158905
46126,0.09171967208385468
37411,0.04893840104341507
16621,0.03805862367153168
91416,0.01440112292766571
60683,0.01857076585292816
52845,0.0012961328029632568
33378,0.05711936205625534
37263,0.028874486684799194
31171,0.0276855006814003
71113,0.04744456708431244
77859,0.019701942801475525
43985,0.06344634294509888
70400,0.047062456607818604
37770,0.00029502809047698975
80262,0.04907043278217316
84180,0.09850789606571198
17232,0.006236746907234192
71623,0.09321502596139908
30431,0.04029810428619385
58173,0.05117155611515045
58306,0.06316892802715302
38230,1.952052116394043e-05
79064,0.0050943344831466675
71485,0.020118027925491333
99212,0.2721843719482422
91050,0.037533313035964966
52058,0.05806483328342438
91847,0.0022431910037994385
12044,0.044416360557079315
57300,0.002211257815361023
38695,0.01968155801296234
42389,0.021298132836818695
91258,0.02205435186624527
32047,0.09364426881074905
24144,0.08849088847637177
62464,0.030397802591323853
90987,0.1367790699005127
30582,0.014042839407920837
91347,0.05789653956890106
105952,0.029271498322486877
35836,0.09388303756713867
92692,6.523728370666504e-05
20787,0.01615302264690399
70085,0.04512973874807358
23856,0.2353878617286682
57571,0.025483645498752594
64630,0.12986817955970764
102323,0.09291262924671173
71495,0.013043522834777832
83165,0.05901583284139633
95286,0.054108649492263794
30322,0.235927015542984
27058,0.004973351955413818
89552,0.012746363878250122
20479,0.07188355177640915
90277,0.02371332049369812
38518,4.9561262130737305e-05
13047,0.2201387882232666
75619,0.07671266049146652
7926,3.6656856536865234e-06
67335,0.07377598434686661
48864,0.0651431679725647
35329,0.23798304796218872
64994,0.0888555645942688
73213,0.0014767646789550781
106120,0.014853402972221375
22740,0.007580563426017761
77649,0.13717958331108093
70175,0.05328308045864105
80516,3.1113624572753906e-05
22431,0.0999159961938858
