,Eg
24116,2.6383392810821533
76007,1.3762762546539309
80432,0.8896229267120361
46672,4.241024494171143
48034,2.324167013168335
17859,4.288782119750977
110521,3.152509450912476
70853,2.117842674255371
110609,2.2623257637023926
97666,4.268150329589844
21525,0.9222309589385986
54326,1.7676019668579102
72557,1.0971077680587769
70880,2.226989984512329
16457,1.1855558156967163
74284,1.3068890571594238
47630,0.8671337366104126
21964,2.061573982238769
6185,3.1695475578308105
786,0.6749483346939087
43834,0.724297046661377
51428,1.377893328666687
73966,2.3452444076538086
48516,1.9653208255767824
12668,0.9860111474990844
43108,4.802646636962891
36882,2.290863513946533
62409,1.1162917613983154
48784,0.9961854219436646
59084,0.6694992780685425
52383,0.6794244050979614
18221,1.81046199798584
34413,0.9639996886253356
78,4.299377918243408
30391,4.202597618103027
47407,1.14341938495636
54246,1.5892179012298584
37402,0.5462151765823364
3012,2.861935615539551
31757,4.054895401000977
81442,3.663172721862793
43435,4.160186767578125
20180,0.6957498788833618
18849,0.8084205985069275
47527,2.167332649230957
86797,3.1927077770233154
69437,4.589458465576172
773,2.5641791820526123
62418,4.438709259033203
13864,5.229433536529541
21926,1.439658761024475
109941,1.2150938510894775
10380,0.7217943072319031
47384,1.448819637298584
74126,2.752284049987793
91161,2.700138568878174
52642,0.7341291308403015
105683,3.314819812774658
3083,3.387824296951294
22250,1.282845139503479
1990,4.837263107299805
47776,2.510720729827881
46389,1.071254014968872
38036,2.406453847885132
110385,2.441810607910156
103636,1.252049207687378
60618,2.5896811485290527
81681,3.728615283966065
100257,1.85061264038086
59388,0.6544537544250488
33895,4.935667514801025
101500,0.998297154903412
70354,3.808976411819458
30386,0.8800104856491089
8750,1.2787559032440186
68605,0.7248367667198181
44321,2.2928266525268555
110478,2.873842716217041
63714,2.553460597991944
57750,1.0041098594665527
51525,0.5165761709213257
6226,4.6915788650512695
14145,4.288076877593994
93227,0.7936332821846008
17244,1.64797842502594
3027,3.391685962677002
62517,2.4093668460845947
8665,2.0519888401031494
28074,3.3534839153289795
108874,2.3820137977600098
7933,0.9066102504730223
27707,1.8393964767456048
86478,1.176705002784729
68019,1.4671223163604736
40355,1.5690025091171265
17718,3.257708549499512
34432,1.124126672744751
75450,3.829550266265869
82044,3.618323802947998
62206,2.1939351558685303
69971,2.328097105026245
55803,4.19307279586792
14454,1.301236629486084
11860,3.0714640617370605
48325,2.952179431915283
101278,1.9858763217926023
89097,2.2926735877990723
70036,5.357410430908203
15023,0.8143595457077026
91997,0.9410077333450316
75208,1.9405699968338013
12671,0.8841001391410828
43442,1.0041602849960327
94468,2.526541948318481
57294,1.822559356689453
77789,0.7611052393913269
46869,3.475985527038574
13630,1.6686967611312866
60222,0.8993113040924072
65659,1.7535037994384766
37071,1.1040565967559814
99812,3.096480369567871
17702,2.928187847137451
10672,1.1406948566436768
65770,1.3026936054229736
108178,0.8084309101104736
48474,2.359915971755981
93769,4.146355152130127
44989,3.258729934692383
109475,0.5107200145721436
109435,0.8126815557479858
21377,1.0720326900482178
101192,0.7812239527702332
110054,1.8711740970611568
105678,3.399778366088867
13903,5.2493438720703125
22694,0.7363261580467224
70757,2.303485870361328
91503,2.890266895294189
44316,3.037839412689209
31587,1.2826478481292725
